"food_code","name","category","base_amount","base_unit","kcal","carbs","protein","fat","sugar","dietary_fiber","vit_a","vit_c","vit_d","calcium","iron","sodium","image"
"D401-018213500-0001","비빔밥_묵_양념장","밥류","200","G","192","32.68","6.18","4.14","2.88","2.6","112.0","4.36","0.3","40.0","1.22","530.0","food-category/rice.jpg"
"D401-018453500-0001","비빔밥_참치_양념장","밥류","200","G","200","32.22","9.64","3.6","3.44","2.2","68.0","3.7","1.24","36.0","2.12","384.0","food-category/rice.jpg"
"D401-019000000-0001","삼각김밥","밥류","200","G","370","61.16","9.6","8.8","0.48","2.4","26.0","2.88","0.94","22.0","0.6","358.0","food-category/rice.jpg"
"D401-021000000-0001","수수밥","밥류","200","G","244","52.0","4.8","0.8","0.34","1.8","0.0","0.02","0.0","4.0","0.26","2.0","food-category/rice.jpg"
"D401-023000000-0001","알밥","밥류","200","G","172","31.34","4.6","2.9","0.94","1.6","28.0","2.34","0.9","22.0","0.42","302.0","food-category/rice.jpg"
"D401-026000000-0001","영양돌솥밥","밥류","200","G","238","50.58","4.86","0.88","1.16","1.8","6.0","1.28","0.0","10.0","1.12","4.0","food-category/rice.jpg"
"D401-027000000-0001","오곡밥","밥류","200","G","288","59.6","6.8","1.3","0.5","3.0","0.0","0.28","0.0","12.0","0.76","246.0","food-category/rice.jpg"
"D401-028000000-0001","오므라이스","밥류","200","G","234","34.44","7.28","6.66","5.0","1.6","70.0","3.5","0.52","24.0","1.0","422.0","food-category/rice.jpg"
"D401-029350000-0001","우럭회덮밥_양념장","밥류","200","G","134","22.94","6.98","1.54","3.1","1.6","52.0","2.52","1.2","30.0","0.66","128.0","food-category/rice.jpg"
"D401-030000000-0001","율무밥","밥류","200","G","236","51.12","4.4","0.34","0.02","0.6","0.0","0.0","0.0","4.0","0.96","4.0","food-category/rice.jpg"
"D401-032000000-0001","잡곡밥","밥류","200","G","262","54.26","6.2","1.4","0.62","2.8","0.0","0.2","0.0","14.0","0.62","2.0","food-category/rice.jpg"
"D401-032600000-0001","잡곡밥_보리","밥류","200","G","274","57.5","6.2","1.3","0.56","3.0","0.0","0.18","0.0","12.0","0.58","2.0","food-category/rice.jpg"
"D401-032606900-0001","잡곡밥_보리_흑미","밥류","200","G","270","56.64","6.0","1.24","0.54","2.6","0.0","0.16","0.0","12.0","0.5","2.0","food-category/rice.jpg"
"D401-032620000-0001","잡곡밥_서리태","밥류","200","G","268","54.7","6.8","1.62","0.7","3.0","0.0","0.34","0.0","16.0","0.66","2.0","food-category/rice.jpg"
"D401-007450000-0001","김밥_참치","밥류","200","G","256","34.98","10.6","7.86","1.14","2.2","70.0","6.8","1.26","36.0","0.8","350.0","food-category/rice.jpg"
"D401-007450400-0001","김밥_참치_고추","밥류","200","G","238","32.84","8.8","7.52","1.0","2.6","68.0","9.68","1.0","32.0","0.76","272.0","food-category/rice.jpg"
"D401-007455900-0001","김밥_참치_김치","밥류","200","G","250","30.9","10.8","8.9","1.54","2.4","80.0","8.42","0.9","76.0","0.84","376.0","food-category/rice.jpg"
"D401-007480000-0001","김밥_채소","밥류","200","G","204","36.1","7.0","3.16","1.18","2.2","70.0","7.74","0.12","32.0","0.64","306.0","food-category/rice.jpg"
"D401-007490000-0001","김밥_치즈","밥류","200","G","244","37.32","9.2","5.92","1.2","2.4","82.0","7.44","0.14","110.0","0.68","442.0","food-category/rice.jpg"
"D401-007560000-0001","김밥_고추","밥류","200","G","188","33.0","6.4","3.26","1.3","2.6","76.0","10.18","0.12","34.0","0.66","304.0","food-category/rice.jpg"
"D401-007610000-0001","김밥_샐러리","밥류","200","G","260","39.5","5.6","8.4","1.76","2.2","56.0","5.1","0.08","44.0","0.54","510.0","food-category/rice.jpg"
"D401-008350000-0001","넙치(광어)회덮밥_양념장","밥류","200","G","154","25.28","8.54","2.12","3.84","1.6","48.0","2.8","1.22","36.0","0.7","170.0","food-category/rice.jpg"
"D401-009000000-0001","누룽지","밥류","200","G","174","38.34","3.0","0.12","0.48","2.0","0.0","0.0","0.0","8.0","0.26","2.0","food-category/rice.jpg"
"D401-011000000-0001","돌솥 비빔밥","밥류","200","G","202","34.92","6.8","3.56","2.1","2.4","60.0","2.7","0.18","58.0","1.06","186.0","food-category/rice.jpg"
"D401-011350000-0001","돌솥 비빔밥_양념장","밥류","200","G","172","27.98","5.62","4.14","2.46","2.0","82.0","4.04","0.42","34.0","1.14","232.0","food-category/rice.jpg"
"D401-015000000-0001","묵밥","밥류","200","G","140","25.98","5.2","1.48","0.86","2.2","14.0","2.04","0.0","24.0","1.38","186.0","food-category/rice.jpg"
"D401-016000000-0001","보리밥","밥류","200","G","234","50.44","5.2","0.88","0.32","3.8","0.0","0.06","0.0","12.0","0.76","2.0","food-category/rice.jpg"
"D401-017030000-0001","볶음밥_계란","밥류","200","G","328","52.4","11.6","6.96","0.44","3.2","62.0","0.04","0.52","36.0","1.56","222.0","food-category/rice.jpg"
"D401-017071500-0001","볶음밥_김치_돼지고기","밥류","200","G","220","37.24","6.8","4.1","1.06","2.0","8.0","1.2","0.04","18.0","0.34","170.0","food-category/rice.jpg"
"D401-017140000-0001","볶음밥_돼지고기","밥류","200","G","226","35.76","7.6","4.88","1.5","1.4","64.0","1.06","0.14","14.0","0.44","280.0","food-category/rice.jpg"
"D401-017234200-0001","볶음밥_배추김치_참치","밥류","200","G","210","29.2","10.22","5.16","2.26","2.0","42.0","2.2","1.46","32.0","2.2","384.0","food-category/rice.jpg"
